ID	name_txt
112179	Rhodeus suigensis
1539267	Popplepsalta decora
2779745	Tayloria tenuis
1646251	Amphigerontia bifasciata
2612685	unclassified Piezotrachelus
2565727	Cinnamomum macrocarpum
179231	Encephalartos woodii
13279	Synanceia horrida
1718835	Ichnanthus piresii
1752933	Lecudina pellucida
393499	Alepidea pusilla
2640138	unclassified Varunaivibrio
687718	Dalechampia brevicolumna
2774394	Lophuromys pseudosikapusi
1756143	Lewia sp.
2559829	Actumnus uformis
552992	Penaincisalia tegulina
320987	Metaphire posthuma
2619529	unclassified Euphrosynoplax
644077	Kakadudessus tomweiri
598985	Eucera actuosa
72738	Ustilago sparti
304268	Bacillus alkalitelluris
2624249	unclassified Polymona
2038071	Melanospora tiffanyae
1776243	Bryoxiphium madeirense
86768	Magnolia maudiae
2756198	Colobura annulata
1792734	Saxifraga candelabrum
2639902	unclassified Daedaleopsis
390402	Conorhynchos conirostris
2643395	unclassified Hungactinomyxon
1538404	Asperula suffruticosa
272817	Asellus hilgendorfii
511357	Neotiwaripotamon jianfengense
627136	Suillus quiescens
414443	Peromyscus stirtoni
317290	proteobacterium AZD9_W1
544585	bacterium BREP13
468127	Albizia canescens
375204	Aphanopus intermedius
608991	Capnia vernalis
41226	Elsholtzia stauntonii
2636547	unclassified Nemognatha
286850	Ranunculus allemannii
321041	Glossiphonia concolor
2636266	unclassified Barytarbes
2564010	Raphidascaris mahnerti
319556	Halopeplis perfoliata
2625178	unclassified Momordica
336252	Lasiodiplodia gonubiensis
223141	Chilomycterus schoepfii
215278	Arachis simpsonii
1588301	Oodes gracilis
2591593	Cecidopsylla cata
7282	Drosophila obscura
1744885	Cyanotis axillaris
182727	Pteria loveni
8987	Penelope superciliaris
529758	Trochus stellatus
51221	Tricholoma bakamatsutake
175384	Disa virginalis
447333	Phelsuma grandis
524308	Eudendrium merulum
2579216	Barleria merxmuelleri
152611	Delias heliophora
398135	Plebeina hildebrandti
452572	Eucalyptus longifolia
99495	Monostroma arcticum
2680273	Copestylum avidum
2019507	Austrothelphusa raceki
252296	Carposina coreana
1546433	Rubus integribasis
346887	Palaua malvifolia
44312	unclassified Simulium
2730893	Diatrypella japonica
1611856	Limnias ceratophylli
315266	Norovirus Hu/L154/2000/France
384323	Phoebe excelsa
402428	Amynthas tuberculatus
1642136	Rhinogobius chiengmaiensis
586124	Leucothoe griffithiana
290145	Nematoscelis atlantica
161573	Limnoria quadripunctata
253802	Selliguea subsparsa
2029321	Agave howardii
426446	Phormidium corium
358084	Ligularia latihastata
176445	Cicindela sommeri
2630556	unclassified Eremocoris
306397	Micromeria pineolens
50562	Petrobius brevistylis
2752409	unclassified Gastrobothrus
654967	Crepis lyrata
2613171	Paropisthius indicus
2602157	Microcopris hidakai
2034423	Steinera subantarctica
2040682	Apodus sp.
208872	Myriophyllum simulans
2634032	unclassified Bovicola
1963002	Andinosaura crypta
576553	bacterium NTN01
2729230	Myxidium notopterum
253471	Prophysaon coeruleum
114805	Nodularia harveyana
569885	Hyllus tuberculatus
566324	actinobacterium FA6
2627772	unclassified Platybessobius
385903	bacterium SL4.45
2013326	Idia gopheri
254923	Saussurea salwinensis
403116	Secamone elliptica
189223	Pseudogynoxys benthamii
384974	Planchonella costata
141934	Carabus nankotaizanus
471858	Helicobacter magdeburgensis
39472	Gerbillus nigeriae
260789	Didymodon validus
2585145	Mangifera minutifolia
265007	uncultured Amphisphaeriaceae
2663023	Mansonia dyari
57955	Orestias incae
1980713	Archaica labianix
319927	Camellia kissii
655055	Dalcerides ingenita
1986360	Lippia americana
248411	Pseudoselago recurvifolia
529209	Glycera lapidum
509385	Eutychide paria
1674321	Bothroponera wasmannii
268505	Ophiocordyceps unilateralis
2745865	Barrenia sp.
572258	Turridrupa albofasciata
1526552	Litinga cottini
40964	Notholaena rosei
342679	Limenitis weidemeyerii
291161	Stenostachys laevis
171762	Chuquiraga erinacea
319659	Genista carinalis
484301	Pterostichus brachylobus
281577	Hoplasoma unicolor
270742	Talaromyces hachijoensis
297385	Proschizorhynchus triductibus
650509	Entomoneis paludosa
368864	Chaetanthera brachylepis
44646	Peziza quelepidotia
273423	Cheilosia semifasciata
6047	Geodia cydonium
380791	Hyalella sandra
2048138	Agathobaculum sp.
118763	Doronicum grandiflorum
41698	Plocamium oregonum
220647	Limacina helicina
429483	Bazzania marginata
586585	Fulvius itabiritensis
553745	Myurellopsis paucistriata
179825	Chaitophorus nassonowi
2684923	unclassified Acyrthosiphon
2621352	unclassified Nigrospora
435237	Upeneus subvittatus
491109	Melicytus flexuosus
1679315	Helicia silvicola
415401	Gomphichis costaricensis
2584946	Elonginurus mugilus
368884	Chaetanthera incana
512542	Macrocarpaea opulenta
1734950	Hirtodrosophila subgilva
302126	Heliophila deserticola
460576	Norovirus NVO5
407195	Aptorchis megacetabulus
